player_name,season,cii,tii,cii_archetype,tii_archetype,archetype_2d,career_leverage_mean,career_positive_seasons,career_negative_seasons,career_pattern,has_creation_tools,reasoning,cii_components,tii_components,confidence
Hassan Whiteside,2015-16,26.27,49.61,Role Player,Limited Scaling,Role Player,-0.02,0,1,Hides,False,"Low CII 26.3, low TII 49.6","{'self_created': np.float64(17.16), 'pressure_appetite': np.float64(32.53), 'difficulty_embrace': np.float64(10.6), 'defensive_survival': np.float64(51.55), 'force_multiplication': np.float64(31.37)}","{'scaling_efficiency': np.float64(31.863276966965724), 'pressure_appetite': np.float64(57.54228855721392), 'creation_tools': np.float64(25.43097925009101), 'opportunity_response': np.float64(89.43714285714286), 'age_trajectory': np.float64(71.66)}",Medium
Hollis Thompson,2015-16,12.57,33.59,Role Player,Low Scaling,Role Player,-0.064,0,1,Hides,True,"Low CII 12.6, low TII 33.6","{'self_created': np.float64(3.69), 'pressure_appetite': np.float64(10.0), 'difficulty_embrace': np.float64(15.97), 'defensive_survival': np.float64(36.84), 'force_multiplication': np.float64(2.43)}","{'scaling_efficiency': np.float64(11.111416524625461), 'pressure_appetite': np.float64(14.399999999999999), 'creation_tools': np.float64(49.53274299621977), 'opportunity_response': np.float64(55.0), 'age_trajectory': np.float64(85.0)}",Medium
Ian Mahinmi,2015-16,15.32,37.03,Role Player,Limited Scaling,Role Player,-0.0199999999999999,0,1,Mixed,False,"Low CII 15.3, low TII 37.0","{'self_created': np.float64(5.25), 'pressure_appetite': np.float64(23.52), 'difficulty_embrace': np.float64(4.2), 'defensive_survival': np.float64(31.67), 'force_multiplication': np.float64(22.7)}","{'scaling_efficiency': np.float64(17.633838731535434), 'pressure_appetite': np.float64(45.04033970276012), 'creation_tools': np.float64(15.100000000000001), 'opportunity_response': np.float64(78.63714285714286), 'age_trajectory': np.float64(56.67)}",Medium
Iman Shumpert,2015-16,17.32,43.55,Role Player,Limited Scaling,Role Player,-0.022,0,1,Hides,True,"Low CII 17.3, low TII 43.5","{'self_created': np.float64(10.31), 'pressure_appetite': np.float64(16.18), 'difficulty_embrace': np.float64(27.24), 'defensive_survival': np.float64(26.58), 'force_multiplication': np.float64(7.45)}","{'scaling_efficiency': np.float64(15.367521367521364), 'pressure_appetite': np.float64(43.620512820512815), 'creation_tools': np.float64(62.06322701688555), 'opportunity_response': np.float64(51.91428571428571), 'age_trajectory': np.float64(78.33)}",Medium
Isaiah Canaan,2015-16,25.61,49.5,Role Player,Limited Scaling,Role Player,-0.0219999999999999,0,1,Hides,False,"Low CII 25.6, low TII 49.5","{'self_created': np.float64(23.79), 'pressure_appetite': np.float64(29.59), 'difficulty_embrace': np.float64(25.07), 'defensive_survival': np.float64(28.08), 'force_multiplication': np.float64(18.46)}","{'scaling_efficiency': np.float64(33.85422324681397), 'pressure_appetite': np.float64(44.59336823734733), 'creation_tools': np.float64(58.81879921678798), 'opportunity_response': np.float64(52.857142857142854), 'age_trajectory': np.float64(85.0)}",Medium
Isaiah Thomas,2015-16,62.06,72.86,Luxury Amplifier,High Scaling,Latent Engine,0.031,1,0,Steps Up,True,"Medium CII 62.1, high TII 72.9, has tools","{'self_created': np.float64(60.84), 'pressure_appetite': np.float64(68.1), 'difficulty_embrace': np.float64(47.7), 'defensive_survival': np.float64(72.79), 'force_multiplication': np.float64(63.2)}","{'scaling_efficiency': np.float64(67.16716708713014), 'pressure_appetite': np.float64(78.34532871972318), 'creation_tools': np.float64(78.35814696036233), 'opportunity_response': np.float64(68.6), 'age_trajectory': np.float64(71.66)}",Medium
Ish Smith,2015-16,56.54,71.87,Luxury Amplifier,High Scaling,Latent Engine,0.1,1,0,Steps Up,True,"Medium CII 56.5, high TII 71.9, has tools","{'self_created': np.float64(38.84), 'pressure_appetite': np.float64(79.17), 'difficulty_embrace': np.float64(50.64), 'defensive_survival': np.float64(63.66), 'force_multiplication': np.float64(54.22)}","{'scaling_efficiency': np.float64(54.666666666666664), 'pressure_appetite': np.float64(85.0), 'creation_tools': np.float64(93.3), 'opportunity_response': np.float64(55.94285714285715), 'age_trajectory': np.float64(71.66)}",Medium
J.J. Barea,2015-16,45.98,59.53,Fragile Star,Moderate Scaling,Strong Creator,0.003,1,0,Mixed,True,"CII 46.0, TII 59.5","{'self_created': np.float64(47.33), 'pressure_appetite': np.float64(47.79), 'difficulty_embrace': np.float64(40.21), 'defensive_survival': np.float64(55.12), 'force_multiplication': np.float64(35.19)}","{'scaling_efficiency': np.float64(56.661721251819515), 'pressure_appetite': np.float64(59.38602620087336), 'creation_tools': np.float64(83.19884616750097), 'opportunity_response': np.float64(50.28571428571429), 'age_trajectory': np.float64(35.0)}",Medium
JJ Redick,2015-16,31.13,53.29,Role Player,Moderate Scaling,Role Player,-0.034,0,1,Hides,True,"Low CII 31.1, low TII 53.3","{'self_created': np.float64(15.44), 'pressure_appetite': np.float64(30.06), 'difficulty_embrace': np.float64(45.53), 'defensive_survival': np.float64(56.55), 'force_multiplication': np.float64(13.9)}","{'scaling_efficiency': np.float64(49.410966409575586), 'pressure_appetite': np.float64(26.4), 'creation_tools': np.float64(77.79711751662971), 'opportunity_response': np.float64(85.4), 'age_trajectory': np.float64(35.0)}",Medium
JR Smith,2015-16,19.28,38.72,Role Player,Limited Scaling,Role Player,-0.0779999999999999,0,1,Hides,True,"Low CII 19.3, low TII 38.7","{'self_created': np.float64(18.96), 'pressure_appetite': np.float64(10.0), 'difficulty_embrace': np.float64(31.71), 'defensive_survival': np.float64(29.32), 'force_multiplication': np.float64(3.53)}","{'scaling_efficiency': np.float64(31.478289858556728), 'pressure_appetite': np.float64(8.80000000000004), 'creation_tools': np.float64(68.24587984015433), 'opportunity_response': np.float64(57.31428571428572), 'age_trajectory': np.float64(48.34)}",Medium
