PLAYER_NAME,SEASON,PORTABILITY_CLASS,PORTABILITY_SCORE,vol_ratio,eff_ratio,assisted_fgm_pct,open_shot_frequency,leverage_usg_delta,leverage_ts_delta,creation_volume_ratio,rim_appetite
Al Horford,2016-17,low,0.524696159163113,0.9574501182965296,0.941554086423302,0.8110749185667752,0.3616298811544992,-0.049,0.006,0.1889250814332247,0.0
Al Horford,2016-17,low,0.567721073933088,0.8128442056015003,1.4054187192118228,0.8110749185667752,0.3616298811544992,-0.049,0.006,0.1889250814332247,0.0
Al Horford,2017-18,low,0.6647701859346474,0.9629063911687508,1.0241605900980684,0.7256176853055917,0.3413461538461538,-0.042,0.068,0.2743823146944083,0.0
Al Horford,2017-18,medium,0.8849898883190508,1.1258234537991942,1.1661344148168462,0.7256176853055917,0.3413461538461538,-0.042,0.068,0.2743823146944083,0.0
Al Horford,2017-18,low,0.6960890885778276,0.9406684455614932,1.09776364954548,0.7256176853055917,0.3413461538461538,-0.042,0.068,0.2743823146944083,0.0
Al Horford,2018-19,low,0.49978302508609995,0.9594927290075618,0.9976280834914611,0.8660287081339713,0.3885230479774224,-0.044,0.195,0.1339712918660287,0.0
Al Horford,2021-22,low,0.4343854792949244,0.8475692846871693,1.3426580242701884,0.9030390738060782,0.4138349514563106,-0.044,-0.1049999999999999,0.0969609261939218,0.0
Al Horford,2021-22,low,0.3398581512563471,0.7846043198761092,1.0142106166253295,0.9030390738060782,0.4138349514563106,-0.044,-0.1049999999999999,0.0969609261939218,0.0
Al Horford,2021-22,low,0.4043735969185689,0.8970651640888322,1.0554555692378935,0.9030390738060782,0.4138349514563106,-0.044,-0.1049999999999999,0.0969609261939218,0.0
Al Horford,2023-24,low,0.3848108305656694,1.287908161406159,0.7861454725383474,0.9405405405405406,0.4716981132075471,-0.017,-0.047,0.0594594594594594,0.0
Al-Farouq Aminu,2015-16,low,0.6123213640819214,1.0052398200585988,1.2978387521142645,0.7872340425531915,0.3707093821510298,-0.023,-0.171,0.2127659574468085,0.0
Al-Farouq Aminu,2015-16,low,0.5521830367881548,1.216485940809571,0.9065115298934316,0.7872340425531915,0.3707093821510298,-0.023,-0.171,0.2127659574468085,0.0
Al-Farouq Aminu,2018-19,low,0.5615402941212689,1.164976361406367,0.7532001091844212,0.788659793814433,0.3503448275862069,0.004,0.101,0.211340206185567,0.0
Allen Crabbe,2015-16,low,0.4814666626404067,0.7705089268909143,1.2908803316243045,0.896551724137931,0.3089820359281437,-0.083,0.079,0.1034482758620689,0.0
Andre Iguodala,2015-16,medium,0.8030207036947645,1.1968749520999384,0.925500322788896,0.7750611246943766,0.2473498233215547,0.0039999999999999,0.1050000000000001,0.2249388753056234,0.0
Andre Iguodala,2018-19,low,0.6539263528653658,1.4771079618205096,1.1267848520383528,0.8520710059171598,0.3851351351351351,-0.04,-0.1009999999999999,0.1479289940828402,0.0
Andre Iguodala,2018-19,low,0.5655539201862043,1.613602006730341,0.9745097249627512,0.8520710059171598,0.3851351351351351,-0.04,-0.1009999999999999,0.1479289940828402,0.0
Andre Iguodala,2018-19,low,0.4931446330978323,1.487061950933819,0.8497408003268725,0.8520710059171598,0.3851351351351351,-0.04,-0.1009999999999999,0.1479289940828402,0.0
Andre Roberson,2015-16,low,0.5298283680994861,1.3185976652698197,1.025873161764706,0.977635782747604,0.3979591836734694,-0.033,0.2330000000000001,0.0223642172523961,0.0
Andre Roberson,2016-17,low,0.5489235436466223,1.387921792013951,1.03660061878744,0.9629629629629628,0.3976109215017064,-0.036,0.0999999999999999,0.037037037037037,0.0
Andrew Nembhard,2023-24,medium,0.9289991030897254,0.996249255768029,1.1916509756932556,0.4142394822006472,0.3872229465449804,-0.031,-0.0639999999999999,0.5857605177993528,0.0
Andrew Nembhard,2023-24,medium,0.9795926407108346,1.1229627371579682,1.1147614877395426,0.4142394822006472,0.3872229465449804,-0.031,-0.0639999999999999,0.5857605177993528,0.0
Andrew Wiggins,2017-18,high,0.9747263694915254,0.9921877112188972,1.0212070386064032,0.4815533980582525,0.1722397476340693,-0.038,0.013,0.5184466019417475,0.0
Andrew Wiggins,2021-22,low,0.6808879764681095,0.985712124259252,0.9233464663017328,0.6068376068376069,0.2025862068965517,-0.061,-0.108,0.3931623931623931,0.0
