PLAYER_ID,PLAYER_NAME,SEASON,RS_FGA,RS_RIM_FGA,RS_RIM_FGM,RS_RIM_APPETITE,RS_RIM_PCT,PO_FGA,PO_RIM_FGA,PO_RIM_FGM,PO_RIM_APPETITE,PO_RIM_PCT,RIM_PRESSURE_RESILIENCE
2199,Tyson Chandler,2015-16,314,252,168,0.802547770700637,0.6666666666666666,,,,,,
2199,Tyson Chandler,2016-17,228,215,150,0.9429824561403509,0.6976744186046512,,,,,,
2199,Tyson Chandler,2017-18,187,179,118,0.9572192513368984,0.659217877094972,,,,,,
2200,Pau Gasol,2015-16,995,271,155,0.2723618090452261,0.5719557195571956,,,,,,
2200,Pau Gasol,2016-17,604,155,91,0.25662251655629137,0.5870967741935483,114.0,50.0,30.0,0.43859649122807015,0.6,1.7091114883984155
2200,Pau Gasol,2017-18,627,216,140,0.3444976076555024,0.6481481481481481,20.0,8.0,5.0,0.4,0.625,1.1611111111111112
2207,Joe Johnson,2015-16,859,79,47,0.0919674039580908,0.5949367088607594,158.0,21.0,13.0,0.13291139240506328,0.6190476190476191,1.445201089568979
2207,Joe Johnson,2016-17,626,63,43,0.10063897763578275,0.6825396825396826,133.0,9.0,7.0,0.06766917293233082,0.7777777777777778,0.6723952738990332
2207,Joe Johnson,2017-18,360,21,15,0.058333333333333334,0.7142857142857143,17.0,2.0,2.0,0.11764705882352941,1.0,2.0168067226890756
2210,Richard Jefferson,2015-16,312,77,56,0.2467948717948718,0.7272727272727273,84.0,41.0,28.0,0.4880952380952381,0.6829268292682927,1.9777365491651204
2210,Richard Jefferson,2016-17,343,106,78,0.30903790087463556,0.7358490566037735,38.0,13.0,9.0,0.34210526315789475,0.6923076923076923,1.1070009930486595
2216,Zach Randolph,2015-16,907,338,194,0.37265711135611906,0.5739644970414202,62.0,32.0,11.0,0.5161290322580645,0.34375,1.384997136858179
2216,Zach Randolph,2016-17,964,341,200,0.3537344398340249,0.5865102639296188,83.0,29.0,18.0,0.3493975903614458,0.6206896551724138,0.9877398155672543
2216,Zach Randolph,2017-18,763,214,139,0.2804718217562254,0.6495327102803738,,,,,,
2225,Tony Parker,2015-16,710,241,146,0.33943661971830985,0.6058091286307054,98.0,31.0,19.0,0.3163265306122449,0.6129032258064516,0.9319163349987298
2225,Tony Parker,2016-17,569,180,101,0.3163444639718805,0.5611111111111111,97.0,28.0,17.0,0.28865979381443296,0.6071428571428571,0.9124856815578465
2225,Tony Parker,2017-18,388,143,88,0.36855670103092786,0.6153846153846154,37.0,9.0,6.0,0.24324324324324326,0.6666666666666666,0.65998865998866
2225,Tony Parker,2018-19,463,160,87,0.34557235421166305,0.54375,,,,,,
2399,Mike Dunleavy,2015-16,188,54,31,0.2872340425531915,0.5740740740740741,,,,,,
2399,Mike Dunleavy,2016-17,220,48,30,0.21818181818181817,0.625,7.0,2.0,1.0,0.2857142857142857,0.5,1.3095238095238095
2400,Drew Gooden,2015-16,103,24,12,0.23300970873786409,0.5,,,,,,
2403,Nene,2015-16,384,192,134,0.5,0.6979166666666666,,,,,,
2403,Nene,2016-17,397,277,196,0.6977329974811083,0.7075812274368231,51.0,37.0,31.0,0.7254901960784313,0.8378378378378378,1.0397819777730586
2403,Nene,2017-18,239,172,107,0.7196652719665272,0.622093023255814,20.0,18.0,12.0,0.9,0.6666666666666666,1.2505813953488372
2403,Nene,2018-19,116,55,38,0.47413793103448276,0.6909090909090909,10.0,6.0,6.0,0.6,1.0,1.2654545454545454
