player,season,star_potential,king_probability,bulldozer_probability,sniper_probability,victim_probability,predicted_archetype,actual_archetype,AGE,current_usage,is_star_predicted,is_star_actual,rank
Jaylen Nowell,2019-20,0.4175237491726875,0.0742687657475471,0.3432549834251404,0.0108842784538865,0.5715919733047485,Victim (Fragile Role),,20.0,0.165,False,,588
Bryce Dejean-Jones,2015-16,0.4175237491726875,0.0742687657475471,0.3432549834251404,0.0108842784538865,0.5715919733047485,Victim (Fragile Role),,23.0,0.14,False,,589
Tyrese Martin,2022-23,0.4175237491726875,0.0742687657475471,0.3432549834251404,0.0108842784538865,0.5715919733047485,Victim (Fragile Role),,24.0,0.164,False,,590
Wendell Moore Jr.,2022-23,0.4175237491726875,0.0742687657475471,0.3432549834251404,0.0108842784538865,0.5715919733047485,Victim (Fragile Role),,21.0,0.139,False,,591
Jay Scrubb,2021-22,0.4175237491726875,0.0742687657475471,0.3432549834251404,0.0108842784538865,0.5715919733047485,Victim (Fragile Role),,21.0,0.188,False,,592
Ty-Shon Alexander,2020-21,0.4175237491726875,0.0742687657475471,0.3432549834251404,0.0108842784538865,0.5715919733047485,Victim (Fragile Role),,22.0,0.143,False,,593
Cui Cui,2024-25,0.4175237491726875,0.0742687657475471,0.3432549834251404,0.0108842784538865,0.5715919733047485,Victim (Fragile Role),,22.0,0.296,False,,594
Jared Harper,2019-20,0.4175237491726875,0.0742687657475471,0.3432549834251404,0.0108842784538865,0.5715919733047485,Victim (Fragile Role),,22.0,0.222,False,,595
Jarnell Stokes,2015-16,0.4175237491726875,0.0742687657475471,0.3432549834251404,0.0108842784538865,0.5715919733047485,Victim (Fragile Role),,22.0,0.133,False,,596
Ryan Arcidiacono,2017-18,0.4175237491726875,0.0742687657475471,0.3432549834251404,0.0108842784538865,0.5715919733047485,Victim (Fragile Role),,24.0,0.081,False,,597
Deividas Sirvydis,2020-21,0.4175237491726875,0.0742687657475471,0.3432549834251404,0.0108842784538865,0.5715919733047485,Victim (Fragile Role),,21.0,0.15,False,,598
Colby Jones,2023-24,0.4175237491726875,0.0742687657475471,0.3432549834251404,0.0108842784538865,0.5715919733047485,Victim (Fragile Role),,22.0,0.178,False,,599
Zhaire Smith,2018-19,0.4175237491726875,0.0742687657475471,0.3432549834251404,0.0108842784538865,0.5715919733047485,Victim (Fragile Role),,20.0,0.166,False,,600
Jordan Bone,2020-21,0.4175237491726875,0.0742687657475471,0.3432549834251404,0.0108842784538865,0.5715919733047485,Victim (Fragile Role),,23.0,0.121,False,,601
