PLAYER_ID,PLAYER_NAME,SEASON,AGE,RS_USG_PCT,CURRENT_ARCHETYPE,CURRENT_STAR_LEVEL,CURRENT_KING_PROB,CURRENT_BULLDOZER_PROB,CURRENT_SNIPER_PROB,CURRENT_VICTIM_PROB,AT_25_USG_ARCHETYPE,AT_25_USG_STAR_LEVEL,AT_25_USG_KING_PROB,AT_25_USG_BULLDOZER_PROB,AT_25_USG_SNIPER_PROB,AT_25_USG_VICTIM_PROB,AT_30_USG_ARCHETYPE,AT_30_USG_STAR_LEVEL,AT_30_USG_KING_PROB,AT_30_USG_BULLDOZER_PROB,AT_30_USG_SNIPER_PROB,AT_30_USG_VICTIM_PROB,CREATION_VOLUME_RATIO,CREATION_TAX,LEVERAGE_USG_DELTA,LEVERAGE_TS_DELTA,RS_PRESSURE_APPETITE,RS_PRESSURE_RESILIENCE,RIM_PRESSURE_RESILIENCE,RS_RIM_APPETITE,EFG_ISO_WEIGHTED,EFG_PCT_0_DRIBBLE,PERFORMANCE_SCORE,DEPENDENCE_SCORE,RISK_CATEGORY,RANK
203504,Trey Burke,2017-18,25.0,0.249,King (Resilient Star),0.77160996,0.7660987,0.005511304,0.0033908337,0.22499923,King (Resilient Star),0.77328753,0.7677643,0.0055232863,0.0012240426,0.22548842,Bulldozer (Fragile Star),0.99115974,0.41869706,0.5724627,0.0012297231,0.007610593,0.728235294117647,-0.1134345718901453,-0.01,-0.1059999999999999,0.4190207156308851,0.583,,0.2162458836443468,0.5315654281098546,0.645,0.0,0.2615778220892877,Depth,301
1630558,Davion Mitchell,2021-22,23.0,0.20200000000000004,Sniper (Resilient Role),0.07525683,0.07324872,0.0020081124,0.6090374,0.31570578,King (Resilient Star),0.7728383,0.76596206,0.0068762023,0.006272809,0.22088891,King (Resilient Star),0.9817618,0.83507276,0.14668903,0.0027513676,0.015486853,0.7252631578947369,-0.0159956458635704,0.0059999999999999,-0.013,0.4165186500888099,0.475,,0.2397408207343412,0.4790043541364295,0.495,0.0,0.28736449916977164,Depth,302
203469,Cody Zeller,2015-16,23.0,0.152,Victim (Fragile Role),0.014750823,0.011754585,0.0029962375,0.226769,0.7584802,King (Resilient Star),0.7724939,0.7687116,0.0037823005,0.0036330018,0.22387303,Bulldozer (Fragile Star),0.9606171,0.35620922,0.6044079,0.0061738966,0.03320899,0.0594965675057208,-0.3246923076923076,-0.065,0.188,0.7324414715719064,0.48,1.0067340067340067,0.6796338672768879,0.2673076923076923,0.592,0.0,0.6762911029920016,Avoid,303
203099,Jared Cunningham,2015-16,25.0,0.166,Sniper (Resilient Role),0.05042986,0.046072867,0.00435699,0.61004514,0.33952504,King (Resilient Star),0.7724842,0.76228106,0.010203132,0.007871526,0.21964425,King (Resilient Star),0.98686725,0.68718964,0.2996776,0.0023721508,0.010760556,0.3055555555555556,-0.2997454545454545,,,0.4769874476987448,0.292,,0.3783783783783784,0.2092545454545454,0.509,0.0,0.5903722105997211,Avoid,304
1628365,Markelle Fultz,2021-22,24.0,0.265,Bulldozer (Fragile Star),0.919991,0.28363553,0.6363555,0.0017426762,0.078266285,King (Resilient Star),0.7716654,0.7617363,0.009929126,0.013423502,0.21491107,Bulldozer (Fragile Star),0.99310386,0.3152923,0.67781156,0.0019371773,0.00495898,0.8968944099378883,0.025130193905817,,,0.5658436213991769,0.5,,0.3314285714285714,0.4921301939058171,0.467,0.3,0.15774902058718482,"Moderate Performance, Low Dependence",305
1628995,Kevin Knox II,2024-25,25.0,0.20200000000000004,Sniper (Resilient Role),0.25908643,0.23358068,0.025505763,0.6797403,0.06117324,King (Resilient Star),0.77152705,0.51720667,0.25432035,0.050972793,0.17750017,Bulldozer (Fragile Star),0.99733496,0.013327191,0.9840078,0.001351924,0.0013131913,0.1935483870967742,0.548,,,,,2.0282608695652176,0.2218649517684887,1.0,0.452,0.2590864300727844,,Depth (Moderate Dependence),306
203967,Dario Šarić,2016-17,23.0,0.24,King (Resilient Star),0.72328293,0.7191211,0.0041618617,0.056638822,0.22007823,King (Resilient Star),0.7710752,0.76663834,0.0044368645,0.0041612172,0.22476362,Bulldozer (Fragile Star),0.9410421,0.4632048,0.47783732,0.004997277,0.053960636,0.2351515151515151,-0.080020618556701,-0.0259999999999999,0.1019999999999999,0.4349344978165939,0.5,,0.3171521035598705,0.416979381443299,0.497,0.7232829332351685,0.5904065063848088,Luxury Component,307
1627742,Brandon Ingram,2021-22,24.0,0.29100000000000004,King (Resilient Star),0.7414541,0.6556461,0.08580801,0.002913307,0.25563264,King (Resilient Star),0.770927,0.7660786,0.004848403,0.0037446958,0.22532836,King (Resilient Star),0.98114663,0.845679,0.13546766,0.003203499,0.015649827,0.556420233463035,-0.0616209790209791,0.033,-0.046,0.5448933782267116,0.455,0.8872730919667036,0.1719226856561546,0.4753790209790209,0.537,0.3,0.3330010787280758,"Moderate Performance, Low Dependence",308
203998,Bruno Caboclo,2020-21,25.0,0.23200000000000004,King (Resilient Star),0.6126823,0.566774,0.045908276,0.20574282,0.1815749,King (Resilient Star),0.77078086,0.68742085,0.08336001,0.0149879325,0.21423127,Bulldozer (Fragile Star),0.98782384,0.07218867,0.91563517,0.0012841745,0.010891993,0.1527777777777777,0.636,,,0.5281690140845071,0.0,,,1.0,0.364,0.3,0.5964715375586855,Luxury Component,309
1628374,Lauri Markkanen,2019-20,23.0,0.209,Sniper (Resilient Role),0.13153747,0.1298964,0.0016410621,0.47876358,0.38969895,King (Resilient Star),0.7701247,0.765377,0.0047476855,0.004405009,0.22547032,King (Resilient Star),0.97310615,0.78543895,0.18766722,0.004225826,0.022668041,0.1601642710472279,-0.0668717948717949,-0.0129999999999999,-0.025,0.4077834179357022,0.333,,0.2978003384094754,0.4811282051282051,0.548,0.07183843851089478,0.6753705321594814,Avoid,310
