PLAYER_NAME,SEASON,PORTABILITY_CLASS,PORTABILITY_SCORE,VOL_RATIO,EFF_RATIO
Bam Adebayo,2021-22,medium,0.9101255117244068,0.7868181692030185,1.1567164401481582
Bam Adebayo,2022-23,low,0.7117887101613769,0.7810190901672769,0.911358914426698
Bam Adebayo,2022-23,medium,0.9320465584405004,1.092913687071971,0.8528089358433691
Bam Adebayo,2022-23,medium,0.8878415324463121,1.048870954108278,0.846473561851211
Bam Adebayo,2022-23,medium,0.8630053609458767,0.8814883421654861,0.9790320752578489
Bam Adebayo,2023-24,medium,1.0891246991513388,1.1819749201477106,0.9214448467444908
Ben Simmons,2017-18,medium,0.8847814907815081,0.948569808607147,0.932753164556962
Ben Simmons,2017-18,high,1.031382712450959,1.0303028379248471,1.0010481137063416
Ben Simmons,2018-19,high,1.0301657532253372,0.9244220906587968,1.1143889394629043
Ben Simmons,2018-19,low,0.7074097544732314,0.6788414864143864,1.042083857027863
