PLAYER_NAME,SEASON,HELIO_INDEX,USG_PCT,TS_PCT,LEAGUE_AVG_TS,CREATION_VOLUME_RATIO
Gordon Hayward,2016-17,1.1235626191622539,0.269,0.595,0.5425134328358209,0.4516129032258065
Jeremy Lin,2016-17,1.1172996694380448,0.255,0.566,0.5425134328358209,0.6901565995525727
Darius Garland,2021-22,1.1142286669836217,0.272,0.576,0.559939226519337,0.7307121661721068
Seth Curry,2016-17,1.1029872977715725,0.193,0.601,0.5425134328358209,0.5802781289506953
Tobias Harris,2020-21,1.087815175621492,0.237,0.597,0.5624655172413793,0.615813953488372
Norman Powell,2022-23,1.0811305078274152,0.251,0.612,0.5733333333333334,0.5475372279495991
Tyrese Maxey,2022-23,1.0801921108099966,0.236,0.605,0.5733333333333334,0.6386630532971995
Tyreke Evans,2017-18,1.076289912728043,0.277,0.561,0.5486761363636364,0.7425910245554616
Nikola Jokić,2022-23,1.0661589297227592,0.263,0.701,0.5733333333333334,0.241779497098646
Brandon Ingram,2020-21,1.0563964802782353,0.279,0.584,0.5624655172413793,0.6153244722439406
Scotty Pippen Jr.,2023-24,1.0448157957621638,0.2269999999999999,0.596,0.5655153203342619,0.6530089628681178
Reggie Jackson,2015-16,1.0144870600145668,0.283,0.535,0.5329707602339182,0.8529204785362421
Ben Simmons,2018-19,1.0134586673193418,0.215,0.582,0.5494604519774011,0.6498194945848376
Jahlil Okafor,2019-20,1.0087297801796158,0.195,0.642,0.560453216374269,0.4255952380952381
Ramon Sessions,2015-16,1.0055178603617745,0.214,0.565,0.5329707602339182,0.6523297491039427
Trendon Watford,2023-24,0.9995552623955432,0.203,0.611,0.5655153203342619,0.5760000000000001
Derrick Rose,2018-19,0.9962157293039527,0.261,0.557,0.5494604519774011,0.8028933092224232
Trey Burke,2017-18,0.9850578148395704,0.249,0.563,0.5486761363636364,0.728235294117647
Jaylen Brown,2023-24,0.9831882883164835,0.283,0.58,0.5655153203342619,0.6376404494382022
John Wall,2016-17,0.9767814440807139,0.299,0.541,0.5425134328358209,0.8488228004956628
Danilo Gallinari,2018-19,0.9674757995578486,0.237,0.633,0.5494604519774011,0.3304347826086957
Cameron Payne,2020-21,0.9578496827586214,0.193,0.602,0.5624655172413793,0.624
Anfernee Simons,2021-22,0.9576417880462075,0.244,0.583,0.559939226519337,0.6223776223776223
Evan Fournier,2019-20,0.9476251594896329,0.237,0.595,0.560453216374269,0.5363636363636364
Jordan Poole,2021-22,0.945341863789898,0.252,0.598,0.559939226519337,0.4805687203791469
Mario Chalmers,2015-16,0.9394737475873586,0.214,0.561,0.5329707602339182,0.645320197044335
D'Angelo Russell,2022-23,0.9220774647887323,0.225,0.605,0.5733333333333334,0.571830985915493
Eric Gordon,2021-22,0.9032007673813289,0.182,0.614,0.559939226519337,0.5275994865211809
Tony Parker,2015-16,0.8959114932948424,0.2109999999999999,0.546,0.5329707602339182,0.8006952491309385
Montrezl Harrell,2017-18,0.8823661752013804,0.2269999999999999,0.647,0.5486761363636364,0.2810126582278481
Quinn Cook,2017-18,0.8804921641791037,0.176,0.593,0.5486761363636364,0.5932835820895522
Rudy Gay,2018-19,0.8634336310570364,0.216,0.583,0.5494604519774011,0.5435684647302904
Alec Burks,2022-23,0.86003933747412,0.218,0.602,0.5733333333333334,0.5745341614906833
Dennis Schröder,2019-20,0.8462909763539279,0.262,0.575,0.560453216374269,0.5921739130434783
Michael Beasley,2015-16,0.8320617018737299,0.284,0.563,0.5329707602339182,0.4183673469387754
Josh Hart,2021-22,0.8241635769450592,0.184,0.61,0.559939226519337,0.4973474801061008
Shake Milton,2019-20,0.8220074746725972,0.186,0.617,0.560453216374269,0.4577464788732395
Chasson Randle,2016-17,0.8080793470712904,0.193,0.586,0.5425134328358209,0.5015105740181269
Danté Exum,2023-24,0.7965645311049212,0.148,0.645,0.5655153203342619,0.4504504504504505
Immanuel Quickley,2023-24,0.7962313350170941,0.233,0.577,0.5655153203342619,0.663751214771623
Buddy Hield,2018-19,0.7933520071364855,0.243,0.587,0.5494604519774011,0.4210526315789474
Derrick White,2019-20,0.7892121192639576,0.183,0.593,0.560453216374269,0.5944625407166123
