stress_vector,outcome_metric,pearson_r,pearson_p,spearman_r,spearman_p,n_samples
EFG_PCT_0_DRIBBLE,PO_RQ,-0.14230066785139417,0.0006418663784750572,-0.12906155666082172,0.0019821370994555624,572
EFG_PCT_0_DRIBBLE,PO_PTS_PER_75,-0.026015438461959885,0.5346372435990783,-0.0030775797359090056,0.9414526748868499,572
EFG_PCT_0_DRIBBLE,PO_TS_PCT,0.26024678592161293,2.6190231887014376e-10,0.24171040231795046,4.762481903803731e-09,572
EFG_PCT_0_DRIBBLE,PO_VOL_RATIO,-0.07611260194734869,0.06891052631850664,-0.06576648789917297,0.1161440542874285,572
EFG_PCT_0_DRIBBLE,PO_EFF_RATIO,-0.17816490435513216,1.8183543089693075e-05,-0.18994150533152462,4.7733313106225616e-06,572
EFG_PCT_0_DRIBBLE,PO_RESILIENCE_SCORE,-0.14230066785139417,0.0006418663784750572,-0.12906155666082172,0.0019821370994555624,572
EFG_ISO_WEIGHTED,PO_DOMINANCE,0.22356829757688151,6.523436712351511e-08,0.3028633135147422,1.3400864843159314e-13,572
EFG_ISO_WEIGHTED,PO_RQ,-0.04834396242933679,0.24835047395531307,-0.014091125423826841,0.7366520508540279,572
EFG_ISO_WEIGHTED,PO_PTS_PER_75,0.19491818436993363,2.6441262902838345e-06,0.26932596125984265,5.8064966385788115e-11,572
EFG_ISO_WEIGHTED,PO_TS_PCT,0.10746428056852936,0.010111245990515653,0.1324366440050895,0.0015010073881562707,572
EFG_ISO_WEIGHTED,PO_VOL_RATIO,0.026529356608913493,0.5265942799799028,0.05155702348135293,0.2182532206460908,572
EFG_ISO_WEIGHTED,PO_EFF_RATIO,-0.11320964796021449,0.006720689206754195,-0.12629825427881186,0.00247703054870656,572
EFG_ISO_WEIGHTED,PO_RESILIENCE_SCORE,-0.04834396242933679,0.24835047395531307,-0.014091125423826841,0.7366520508540279,572
