PLAYER_NAME,SEASON,USG_PCT
JaVale McGee,2016-17,0.221
David Lee,2016-17,0.161
Joffrey Lauvergne,2016-17,0.185
Malcolm Brogdon,2016-17,0.182
Brandan Wright,2016-17,0.161
Reggie Bullock Jr.,2016-17,0.128
Lou Williams,2016-17,0.277
Quincy Acy,2016-17,0.165
Seth Curry,2016-17,0.193
Iman Shumpert,2016-17,0.14
Cheick Diallo,2016-17,0.198
Willie Reed,2016-17,0.15
Josh McRoberts,2016-17,0.171
E'Twaun Moore,2016-17,0.171
Glenn Robinson III,2016-17,0.125
Aron Baynes,2016-17,0.139
Jamal Murray,2016-17,0.212
Derrick Williams,2016-17,0.175
Brandon Ingram,2016-17,0.166
Luke Babbitt,2016-17,0.13
Kelly Oubre Jr.,2016-17,0.143
Richard Jefferson,2016-17,0.121
Georgios Papagiannis,2016-17,0.165
James Ennis III,2016-17,0.127
Troy Williams,2016-17,0.169
Hollis Thompson,2016-17,0.131
Dragan Bender,2016-17,0.145
Zaza Pachulia,2016-17,0.15
Lance Thomas,2016-17,0.131
Manu Ginobili,2016-17,0.188
Anthony Morrow,2016-17,0.158
Anthony Bennett,2016-17,0.188
Donatas Motiejunas,2016-17,0.168
Dennis Schröder,2016-17,0.272
Mike Dunleavy,2016-17,0.137
Eric Bledsoe,2016-17,0.275
Timothe Luwawu-Cabarrot,2016-17,0.175
Joe Johnson,2016-17,0.181
Kris Humphries,2016-17,0.176
Jarell Eddie,2016-17,0.152
Dewayne Dedmon,2016-17,0.118
Tarik Black,2016-17,0.152
Dorian Finney-Smith,2016-17,0.115
Ricky Rubio,2016-17,0.171
Luis Scola,2016-17,0.18
Luc Mbah a Moute,2016-17,0.114
Matthew Dellavedova,2016-17,0.158
Michael Beasley,2016-17,0.243
Rondae Hollis-Jefferson,2016-17,0.185
Paul Zipser,2016-17,0.143
Denzel Valentine,2016-17,0.153
Austin Rivers,2016-17,0.198
Darren Collison,2016-17,0.195
Jeremy Lamb,2016-17,0.228
Deron Williams,2016-17,0.219
Brandon Rush,2016-17,0.097
Juancho Hernangomez,2016-17,0.139
Davis Bertans,2016-17,0.148
Joe Ingles,2016-17,0.135
Thon Maker,2016-17,0.181
Jeremy Lin,2016-17,0.255
Cristiano Felicio,2016-17,0.124
Jahlil Okafor,2016-17,0.244
Ian Clark,2016-17,0.192
Marcus Thornton,2016-17,0.183
Caris LeVert,2016-17,0.161
Pascal Siakam,2016-17,0.129
Boban Marjanovic,2016-17,0.239
Mario Hezonja,2016-17,0.187
Omri Casspi,2016-17,0.138
Jaylen Brown,2016-17,0.176
Jameer Nelson,2016-17,0.156
Tyler Zeller,2016-17,0.159
Mike Scott,2016-17,0.162
Michael Kidd-Gilchrist,2016-17,0.144
David West,2016-17,0.191
Jarrod Uthoff,2016-17,0.169
Danté Exum,2016-17,0.176
Ian Mahinmi,2016-17,0.138
Henry Ellenson,2016-17,0.234
Lucas Nogueira,2016-17,0.093
Tiago Splitter,2016-17,0.214
Jonas Jerebko,2016-17,0.113
Devin Harris,2016-17,0.191
John Wall,2016-17,0.299
Noah Vonleh,2016-17,0.129
Lavoy Allen,2016-17,0.103
Rajon Rondo,2016-17,0.174
Elfrid Payton,2016-17,0.211
Jerami Grant,2016-17,0.122
Roy Hibbert,2016-17,0.136
Anthony Brown,2016-17,0.152
Derrick Jones Jr.,2016-17,0.117
Kevin Seraphin,2016-17,0.184
Jarell Martin,2016-17,0.156
Gerald Green,2016-17,0.223
Monta Ellis,2016-17,0.166
Norman Powell,2016-17,0.208
Wesley Johnson,2016-17,0.122
Jamal Crawford,2016-17,0.22
Jason Terry,2016-17,0.096
Yogi Ferrell,2016-17,0.192
Evan Turner,2016-17,0.182
Taurean Prince,2016-17,0.168
Patrick McCaw,2016-17,0.116
Reggie Williams,2016-17,0.128
Rashad Vaughn,2016-17,0.169
Corey Brewer,2016-17,0.143
Terry Rozier,2016-17,0.167
Brandon Bass,2016-17,0.192
Isaiah Canaan,2016-17,0.151
D.J. Augustin,2016-17,0.194
Andrew Bogut,2016-17,0.104
Cory Joseph,2016-17,0.179
Cameron Payne,2016-17,0.212
Randy Foye,2016-17,0.143
Stanley Johnson,2016-17,0.144
Jrue Holiday,2016-17,0.232
Derrick Rose,2016-17,0.254
Nicolas Brussino,2016-17,0.148
Mike Tobey,2016-17,0.098
Tyreke Evans,2016-17,0.262
Jakob Poeltl,2016-17,0.117
Brandon Knight,2016-17,0.248
Omer Asik,2016-17,0.086
Jeff Teague,2016-17,0.219
Boris Diaw,2016-17,0.154
Jonathan Gibson,2016-17,0.249
Alec Burks,2016-17,0.212
Reggie Jackson,2016-17,0.261
Michael Carter-Williams,2016-17,0.203
Jake Layman,2016-17,0.186
KJ McDaniels,2016-17,0.18
Paul Pierce,2016-17,0.145
Ed Davis,2016-17,0.118
Thomas Robinson,2016-17,0.2
Ty Lawson,2016-17,0.19
Gary Payton II,2016-17,0.157
Johnny O'Bryant III,2016-17,0.205
