player,season,usage_level,current_usage,predicted_archetype,actual_archetype,king_probability,is_king_predicted,is_king_actual,is_false_positive,is_false_negative,is_true_positive,is_true_negative
Eric Bledsoe,2017-18,0.25,0.254,Victim (Fragile Role),Victim (Fragile Role),0.04557854309678078,False,False,False,False,False,True
Eric Bledsoe,2017-18,0.3,0.254,Victim (Fragile Role),Victim (Fragile Role),0.10707525163888931,False,False,False,False,False,True
Eric Bledsoe,2017-18,0.35,0.254,Victim (Fragile Role),Victim (Fragile Role),0.1494186520576477,False,False,False,False,False,True
Jalen Brunson,2022-23,0.15,0.266,Victim (Fragile Role),King (Resilient Star),0.0059210811741650105,False,True,False,True,False,False
Jalen Brunson,2022-23,0.2,0.266,Victim (Fragile Role),King (Resilient Star),0.010847538709640503,False,True,False,True,False,False
Jalen Brunson,2022-23,0.25,0.266,Victim (Fragile Role),King (Resilient Star),0.06551355123519897,False,True,False,True,False,False
Jalen Brunson,2022-23,0.3,0.266,Victim (Fragile Role),King (Resilient Star),0.11659381538629532,False,True,False,True,False,False
Jalen Brunson,2022-23,0.35,0.266,Victim (Fragile Role),King (Resilient Star),0.11902491748332977,False,True,False,True,False,False
Jamal Murray,2018-19,0.15,0.241,Victim (Fragile Role),King (Resilient Star),0.003272558096796274,False,True,False,True,False,False
Jamal Murray,2018-19,0.2,0.241,Victim (Fragile Role),King (Resilient Star),0.0097011374309659,False,True,False,True,False,False
Jamal Murray,2018-19,0.25,0.241,Victim (Fragile Role),King (Resilient Star),0.02265573851764202,False,True,False,True,False,False
Jamal Murray,2018-19,0.3,0.241,Victim (Fragile Role),King (Resilient Star),0.08075127005577087,False,True,False,True,False,False
Jamal Murray,2018-19,0.35,0.241,Victim (Fragile Role),King (Resilient Star),0.10273813456296921,False,True,False,True,False,False
Jae Crowder,2020-21,0.15,0.152,Victim (Fragile Role),Victim (Fragile Role),0.0009546036017127335,False,False,False,False,False,True
Jae Crowder,2020-21,0.2,0.152,Victim (Fragile Role),Victim (Fragile Role),0.0018332324689254165,False,False,False,False,False,True
Jae Crowder,2020-21,0.25,0.152,Victim (Fragile Role),Victim (Fragile Role),0.003638621885329485,False,False,False,False,False,True
Jae Crowder,2020-21,0.3,0.152,Victim (Fragile Role),Victim (Fragile Role),0.00810481607913971,False,False,False,False,False,True
Jae Crowder,2020-21,0.35,0.152,Victim (Fragile Role),Victim (Fragile Role),0.011902285739779472,False,False,False,False,False,True
Josh Hart,2023-24,0.15,0.133,Victim (Fragile Role),Sniper (Resilient Role),0.0013016298180446029,False,False,False,False,False,True
Josh Hart,2023-24,0.2,0.133,Victim (Fragile Role),Sniper (Resilient Role),0.0023078112863004208,False,False,False,False,False,True
Josh Hart,2023-24,0.25,0.133,Victim (Fragile Role),Sniper (Resilient Role),0.005237517412751913,False,False,False,False,False,True
Josh Hart,2023-24,0.3,0.133,Victim (Fragile Role),Sniper (Resilient Role),0.03530329838395119,False,False,False,False,False,True
Josh Hart,2023-24,0.35,0.133,Victim (Fragile Role),Sniper (Resilient Role),0.04056722670793533,False,False,False,False,False,True
Goran Dragic,2019-20,0.15,0.248,Victim (Fragile Role),King (Resilient Star),0.0015249238349497318,False,True,False,True,False,False
Goran Dragic,2019-20,0.2,0.248,Victim (Fragile Role),King (Resilient Star),0.004300492350012064,False,True,False,True,False,False
Goran Dragic,2019-20,0.25,0.248,Victim (Fragile Role),King (Resilient Star),0.03400865197181702,False,True,False,True,False,False
Goran Dragic,2019-20,0.3,0.248,Bulldozer (Fragile Star),King (Resilient Star),0.03898058459162712,False,True,False,True,False,False
Goran Dragic,2019-20,0.35,0.248,Bulldozer (Fragile Star),King (Resilient Star),0.05236009508371353,False,True,False,True,False,False
Marcus Smart,2021-22,0.15,0.179,Victim (Fragile Role),Sniper (Resilient Role),0.001299157040193677,False,False,False,False,False,True
Marcus Smart,2021-22,0.2,0.179,Victim (Fragile Role),Sniper (Resilient Role),0.0035397035535424948,False,False,False,False,False,True
Marcus Smart,2021-22,0.25,0.179,Victim (Fragile Role),Sniper (Resilient Role),0.00849853828549385,False,False,False,False,False,True
Marcus Smart,2021-22,0.3,0.179,Victim (Fragile Role),Sniper (Resilient Role),0.024719880893826485,False,False,False,False,False,True
Marcus Smart,2021-22,0.35,0.179,Victim (Fragile Role),Sniper (Resilient Role),0.0384238064289093,False,False,False,False,False,True
Wendell Carter Jr.,2023-24,0.15,0.172,Victim (Fragile Role),Victim (Fragile Role),0.0009509980445727706,False,False,False,False,False,True
Wendell Carter Jr.,2023-24,0.2,0.172,Victim (Fragile Role),Victim (Fragile Role),0.0018471752991899848,False,False,False,False,False,True
Wendell Carter Jr.,2023-24,0.25,0.172,Victim (Fragile Role),Victim (Fragile Role),0.00323014915920794,False,False,False,False,False,True
Wendell Carter Jr.,2023-24,0.3,0.172,Victim (Fragile Role),Victim (Fragile Role),0.00883534736931324,False,False,False,False,False,True
Wendell Carter Jr.,2023-24,0.35,0.172,Victim (Fragile Role),Victim (Fragile Role),0.012451749294996262,False,False,False,False,False,True
Caleb Martin,2023-24,0.15,0.168,Victim (Fragile Role),Sniper (Resilient Role),0.0009163216454908252,False,False,False,False,False,True
Caleb Martin,2023-24,0.2,0.168,Victim (Fragile Role),Sniper (Resilient Role),0.0017339412588626146,False,False,False,False,False,True
Caleb Martin,2023-24,0.25,0.168,Victim (Fragile Role),Sniper (Resilient Role),0.0035741233732551336,False,False,False,False,False,True
Caleb Martin,2023-24,0.3,0.168,Victim (Fragile Role),Sniper (Resilient Role),0.010779881849884987,False,False,False,False,False,True
Caleb Martin,2023-24,0.35,0.168,Victim (Fragile Role),Sniper (Resilient Role),0.01924888789653778,False,False,False,False,False,True
Giannis Antetokounmpo,2018-19,0.15,0.314,Victim (Fragile Role),Bulldozer (Fragile Star),0.0017728261882439256,False,False,False,False,False,True
Giannis Antetokounmpo,2018-19,0.2,0.314,Victim (Fragile Role),Bulldozer (Fragile Star),0.008958582766354084,False,False,False,False,False,True
Giannis Antetokounmpo,2018-19,0.25,0.314,Victim (Fragile Role),Bulldozer (Fragile Star),0.020512111485004425,False,False,False,False,False,True
Giannis Antetokounmpo,2018-19,0.3,0.314,Victim (Fragile Role),Bulldozer (Fragile Star),0.03726924955844879,False,False,False,False,False,True
Giannis Antetokounmpo,2018-19,0.35,0.314,Victim (Fragile Role),Bulldozer (Fragile Star),0.05149492248892784,False,False,False,False,False,True
Joe Ingles,2020-21,0.15,0.162,Victim (Fragile Role),Sniper (Resilient Role),0.0009073243127204478,False,False,False,False,False,True
Joe Ingles,2020-21,0.2,0.162,Victim (Fragile Role),Sniper (Resilient Role),0.003979673609137535,False,False,False,False,False,True
Joe Ingles,2020-21,0.25,0.162,Victim (Fragile Role),Sniper (Resilient Role),0.026858331635594368,False,False,False,False,False,True
Joe Ingles,2020-21,0.3,0.162,Bulldozer (Fragile Star),Sniper (Resilient Role),0.036519672721624374,False,False,False,False,False,True
Joe Ingles,2020-21,0.35,0.162,Bulldozer (Fragile Star),Sniper (Resilient Role),0.045254532247781754,False,False,False,False,False,True
Dennis Schröder,2022-23,0.15,0.183,Victim (Fragile Role),Victim (Fragile Role),0.0017525057774037123,False,False,False,False,False,True
Dennis Schröder,2022-23,0.2,0.183,Victim (Fragile Role),Victim (Fragile Role),0.003582205157727003,False,False,False,False,False,True
Dennis Schröder,2022-23,0.25,0.183,Victim (Fragile Role),Victim (Fragile Role),0.007570196874439716,False,False,False,False,False,True
Dennis Schröder,2022-23,0.3,0.183,Victim (Fragile Role),Victim (Fragile Role),0.02581547014415264,False,False,False,False,False,True
Dennis Schröder,2022-23,0.35,0.183,Victim (Fragile Role),Victim (Fragile Role),0.04138931632041931,False,False,False,False,False,True
Tobias Harris,2020-21,0.15,0.237,Victim (Fragile Role),Victim (Fragile Role),0.002602631924673915,False,False,False,False,False,True
Tobias Harris,2020-21,0.2,0.237,Victim (Fragile Role),Victim (Fragile Role),0.008313638158142567,False,False,False,False,False,True
Tobias Harris,2020-21,0.25,0.237,Victim (Fragile Role),Victim (Fragile Role),0.01911921799182892,False,False,False,False,False,True
Tobias Harris,2020-21,0.3,0.237,Victim (Fragile Role),Victim (Fragile Role),0.03989564999938011,False,False,False,False,False,True
Tobias Harris,2020-21,0.35,0.237,Victim (Fragile Role),Victim (Fragile Role),0.04071113467216492,False,False,False,False,False,True
Khris Middleton,2017-18,0.15,0.239,Victim (Fragile Role),King (Resilient Star),0.0012553477426990867,False,True,False,True,False,False
Khris Middleton,2017-18,0.2,0.239,Victim (Fragile Role),King (Resilient Star),0.004087480250746012,False,True,False,True,False,False
