PLAYER_NAME,SEASON,USG_PCT,DEPENDENCE_SCORE,ASSISTED_FGM_PCT,OPEN_SHOT_FREQUENCY,SELF_CREATED_USAGE_RATIO,DEPENDENCE_CATEGORY
Kawhi Leonard,2017-18,0.304,0.3665979559279277,0.3023012552301255,0.1620745542949757,0.24419456066945605,Moderate
Isaiah Thomas,2017-18,0.276,0.3530005873906801,0.29038854805725967,0.1398176291793313,0.2483640081799591,Low
James Harden,2017-18,0.353,0.26787645340080724,0.15656565656565657,0.0830019880715705,0.2952020202020202,Low
Dennis Schröder,2017-18,0.299,0.3211208787603538,0.20424597364568076,0.1687170474516696,0.2785139092240117,Low
Dennis Smith Jr.,2017-18,0.28,0.3371964940020981,0.2151490733279613,0.1994609164420485,0.2746978243352135,Low
Russell Westbrook,2017-18,0.326,0.2777307480541582,0.1520467836257311,0.1174512601046124,0.2967836257309941,Low
Jonathan Gibson,2017-18,0.28,0.49420289855072463,0.5555555555555556,0.1739130434782608,0.15555555555555553,High
Dwyane Wade,2017-18,0.251,0.357239595703692,0.31359353970390313,0.1196078431372549,0.2402422611036339,Moderate
John Wall,2017-18,0.281,0.3046370148963669,0.16195190947666205,0.1805298829328404,0.29331683168316824,Low
MarShon Brooks,2017-18,0.271,0.26931820810808726,0.1979256698357823,0.0295126973232669,0.28072601555747617,Low
Zach LaVine,2017-18,0.29,0.3282210109645517,0.21121495327102802,0.179296346414073,0.27607476635514017,Low
Reggie Jackson,2017-18,0.265,0.3175496469549868,0.1924095322153574,0.175,0.2826566637246249,Low
Matt Williams Jr.,2017-18,0.28,0.48668750000000005,0.665,0.0,0.11725,High
Naz Mitrou-Long,2017-18,0.5,0.65,1.0,0.0,0.0,High
Jeremy Lin,2017-18,0.254,0.29875,0.09999999999999998,0.25,0.315,Low
Chris Boucher,2017-18,0.333,0.65,1.0,0.0,0.0,High
Dwight Buycks,2017-18,0.266,0.31851463840884736,0.1789667896678966,0.1964809384164222,0.2873616236162362,Low
Isaiah Whitehead,2017-18,0.274,0.30007248704486855,0.16367713004484308,0.1650853889943073,0.29271300448430493,Low
Bobby Brown,2017-18,0.252,0.5386781609195401,0.28888888888888886,0.6724137931034483,0.24888888888888888,High
Kay Felder,2017-18,0.28,0.32381963470319636,0.18666666666666665,0.2009132420091324,0.2846666666666667,Low
Walt Lemon Jr.,2017-18,0.256,0.32999999999999996,0.19999999999999996,0.2,0.27999999999999997,Low
Nikola Vučević,2018-19,0.276,0.6495805270755632,0.8501248959200667,0.2343195266272189,0.08992506244795997,High
Klay Thompson,2018-19,0.254,0.6105499491852335,0.7940226171243943,0.1741826381059752,0.07209208400646203,High
Anthony Davis,2018-19,0.288,0.6167817511555231,0.7994722955145119,0.1843971631205674,0.07018469656992082,High
Karl-Anthony Towns,2018-19,0.28,0.6591014288040313,0.8462273161413563,0.2401874633860574,0.053820439350525294,High
Joel Embiid,2018-19,0.327,0.594652687514336,0.7232968881412952,0.2272727272727272,0.09684608915054667,High
Stephen Curry,2018-19,0.292,0.5053532302165586,0.5252074026802809,0.248041775456919,0.1661774090619017,High
Kevin Love,2018-19,0.259,0.658994013973068,0.8654266958424508,0.2371695178849144,0.08074398249452952,High
Nikola Jokić,2018-19,0.271,0.565405672993801,0.7103064066852368,0.1618037135278514,0.10139275766016712,High
Paul George,2018-19,0.285,0.4371953083895622,0.44256348246674737,0.1684160305343511,0.1951027811366384,Moderate
LaMarcus Aldridge,2018-19,0.268,0.530203655996303,0.6573033707865169,0.1350521792510743,0.11994382022471907,High
DeMarcus Cousins,2018-19,0.281,0.6272935442462493,0.7818411097099622,0.2389885807504078,0.07635561160151322,High
Bradley Beal,2018-19,0.278,0.448839315578698,0.4328249818445896,0.2152489626556016,0.19851125635439362,High
Jonas Valančiūnas,2018-19,0.274,0.6182864949258393,0.8571428571428572,0.133879781420765,0.08571428571428567,High
Julius Randle,2018-19,0.273,0.48100043418847144,0.5396188565697091,0.1583892617449664,0.1611334002006018,High
