player_name,season,cii,tii,cii_archetype,tii_archetype,archetype_2d,career_leverage_mean,career_positive_seasons,career_negative_seasons,career_pattern,has_creation_tools,reasoning,cii_components,tii_components,confidence
Luguentz Dort,2022-23,19.52,35.89,Role Player,Limited Scaling,Fragile Star,-0.033999999999999975,1,3,Hides,False,"Fragile Star: high minutes (30.7), low CII (19.5), no creation tools","{'self_created': np.float64(14.22), 'pressure_appetite': np.float64(20.68), 'difficulty_embrace': np.float64(11.97), 'defensive_survival': np.float64(35.21), 'force_multiplication': np.float64(24.12)}","{'scaling_efficiency': np.float64(14.61056060723758), 'pressure_appetite': np.float64(23.200000000000003), 'creation_tools': np.float64(40.52462073589808), 'opportunity_response': np.float64(57.31428571428572), 'age_trajectory': np.float64(90.0)}",High
Luka Dončić,2022-23,74.5,68.81,Strong Creator,High Scaling,Franchise Engine,0.00360000000000002,2,3,Mixed,True,CII 74.5 >= 74: Already elite creator,"{'self_created': np.float64(97.13), 'pressure_appetite': np.float64(56.15), 'difficulty_embrace': np.float64(78.5), 'defensive_survival': np.float64(53.99), 'force_multiplication': np.float64(75.23)}","{'scaling_efficiency': np.float64(83.63899334420178), 'pressure_appetite': np.float64(23.600000000000037), 'creation_tools': np.float64(79.58333333333334), 'opportunity_response': np.float64(86.0), 'age_trajectory': np.float64(90.0)}",High
Malachi Flynn,2022-23,13.58,31.99,Role Player,Low Scaling,Role Player,0.006499999999999999,1,1,Mixed,False,"Low CII 13.6, low TII 32.0","{'self_created': np.float64(14.92), 'pressure_appetite': np.float64(10.0), 'difficulty_embrace': np.float64(14.79), 'defensive_survival': np.float64(18.66), 'force_multiplication': np.float64(8.48)}","{'scaling_efficiency': np.float64(19.636819258089975), 'pressure_appetite': np.float64(9.200000000000003), 'creation_tools': np.float64(44.88523035230352), 'opportunity_response': np.float64(42.142857142857146), 'age_trajectory': np.float64(85.0)}",Medium
Malaki Branham,2022-23,27.56,53.64,Role Player,Moderate Scaling,Role Player,-0.0189999999999999,0,1,Mixed,True,"Low CII 27.6, low TII 53.6","{'self_created': np.float64(21.76), 'pressure_appetite': np.float64(30.44), 'difficulty_embrace': np.float64(26.5), 'defensive_survival': np.float64(43.86), 'force_multiplication': np.float64(15.39)}","{'scaling_efficiency': np.float64(32.72983601852991), 'pressure_appetite': np.float64(53.84751773049649), 'creation_tools': np.float64(63.43072997751254), 'opportunity_response': np.float64(51.14285714285714), 'age_trajectory': np.int64(100)}",Medium
Malcolm Brogdon,2022-23,38.47,56.96,Role Player,Moderate Scaling,Fragile Star,-0.0050000000000000435,4,3,Mixed,False,"Fragile Star: high usage (22.3%), low CII (38.5), no creation tools","{'self_created': np.float64(56.88), 'pressure_appetite': np.float64(17.33), 'difficulty_embrace': np.float64(33.51), 'defensive_survival': np.float64(48.93), 'force_multiplication': np.float64(30.28)}","{'scaling_efficiency': np.float64(73.75581917733597), 'pressure_appetite': np.float64(8.400000000000002), 'creation_tools': np.float64(76.86278756061103), 'opportunity_response': np.float64(83.51428571428572), 'age_trajectory': np.float64(48.34)}",High
Malik Beasley,2022-23,19.77,39.29,Role Player,Limited Scaling,Role Player,-0.051999999999999914,0,5,Hides,False,"Low CII 19.8, low TII 39.3, no creation tools","{'self_created': np.float64(18.42), 'pressure_appetite': np.float64(17.0), 'difficulty_embrace': np.float64(27.4), 'defensive_survival': np.float64(24.57), 'force_multiplication': np.float64(8.31)}","{'scaling_efficiency': np.float64(25.523945073415163), 'pressure_appetite': np.float64(14.0), 'creation_tools': np.float64(61.67956875220926), 'opportunity_response': np.float64(53.114285714285714), 'age_trajectory': np.float64(78.33)}",High
Malik Monk,2022-23,33.17,60.83,Role Player,Moderate Scaling,Fragile Star,-0.0386666666666666,0,3,Hides,False,"Fragile Star: high usage (24.7%), low CII (33.2), no creation tools","{'self_created': np.float64(27.01), 'pressure_appetite': np.float64(37.62), 'difficulty_embrace': np.float64(21.94), 'defensive_survival': np.float64(53.37), 'force_multiplication': np.float64(32.71)}","{'scaling_efficiency': np.float64(58.981618488003896), 'pressure_appetite': np.float64(54.219973009446726), 'creation_tools': np.float64(51.02226885224317), 'opportunity_response': np.float64(72.52571428571429), 'age_trajectory': np.float64(85.0)}",Medium
Marcus Smart,2022-23,28.66,49.12,Role Player,Limited Scaling,Role Player,-0.022285714285714225,1,6,Hides,False,"Low CII 28.7, low TII 49.1, no creation tools","{'self_created': np.float64(26.26), 'pressure_appetite': np.float64(34.62), 'difficulty_embrace': np.float64(17.34), 'defensive_survival': np.float64(47.04), 'force_multiplication': np.float64(16.06)}","{'scaling_efficiency': np.float64(27.769345929604842), 'pressure_appetite': np.float64(63.38636363636367), 'creation_tools': np.float64(52.514929785661494), 'opportunity_response': np.float64(58.51428571428571), 'age_trajectory': np.float64(56.67)}",High
Mark Williams,2022-23,23.77,46.73,Role Player,Limited Scaling,Role Player,0.002,1,0,Mixed,False,"Low CII 23.8, low TII 46.7","{'self_created': np.float64(14.05), 'pressure_appetite': np.float64(37.38), 'difficulty_embrace': np.float64(2.6), 'defensive_survival': np.float64(54.06), 'force_multiplication': np.float64(15.8)}","{'scaling_efficiency': np.float64(19.106854460093896), 'pressure_appetite': np.float64(67.11428571428571), 'creation_tools': np.float64(10.966666666666667), 'opportunity_response': np.float64(80.19714285714286), 'age_trajectory': np.int64(100)}",Medium
Markelle Fultz,2022-23,51.72,78.07,Fragile Star,High Scaling,Latent Engine,0.0095,1,1,Mixed,True,"Medium CII 51.7, high TII 78.1, has tools","{'self_created': np.float64(50.14), 'pressure_appetite': np.float64(55.74), 'difficulty_embrace': np.float64(38.76), 'defensive_survival': np.float64(71.32), 'force_multiplication': np.float64(42.88)}","{'scaling_efficiency': np.float64(73.77451550387595), 'pressure_appetite': np.float64(78.29230769230767), 'creation_tools': np.float64(85.0248592870544), 'opportunity_response': np.float64(72.37142857142857), 'age_trajectory': np.float64(85.0)}",Medium
Marvin Bagley III,2022-23,15.12,33.83,Role Player,Low Scaling,Role Player,-0.0743333333333333,0,3,Hides,False,"Low CII 15.1, low TII 33.8","{'self_created': np.float64(16.61), 'pressure_appetite': np.float64(14.5), 'difficulty_embrace': np.float64(10.86), 'defensive_survival': np.float64(20.28), 'force_multiplication': np.float64(12.93)}","{'scaling_efficiency': np.float64(16.048841334553618), 'pressure_appetite': np.float64(10.000000000000004), 'creation_tools': np.float64(30.019419624889316), 'opportunity_response': np.float64(76.75142857142858), 'age_trajectory': np.float64(90.0)}",Medium
Matisse Thybulle,2022-23,5.68,28.4,Role Player,Low Scaling,Role Player,-0.03849999999999995,0,2,Hides,False,"Low CII 5.7, low TII 28.4","{'self_created': np.float64(0.94), 'pressure_appetite': np.float64(10.0), 'difficulty_embrace': np.float64(2.77), 'defensive_survival': np.float64(13.83), 'force_multiplication': np.float64(2.65)}","{'scaling_efficiency': np.float64(10.60604159239454), 'pressure_appetite': np.float64(21.20000000000004), 'creation_tools': np.float64(21.83024071417185), 'opportunity_response': np.float64(51.48571428571428), 'age_trajectory': np.float64(78.33)}",Medium
Max Strus,2022-23,11.54,34.9,Role Player,Low Scaling,Role Player,-0.03999999999999995,0,2,Hides,False,"Low CII 11.5, low TII 34.9","{'self_created': np.float64(5.54), 'pressure_appetite': np.float64(17.96), 'difficulty_embrace': np.float64(9.84), 'defensive_survival': np.float64(18.83), 'force_multiplication': np.float64(5.91)}","{'scaling_efficiency': np.float64(19.130980588973365), 'pressure_appetite': np.float64(25.600000000000005), 'creation_tools': np.float64(31.963677666188424), 'opportunity_response': np.float64(61.34285714285714), 'age_trajectory': np.float64(71.66)}",Medium
Maxi Kleber,2022-23,12.33,37.09,Role Player,Limited Scaling,Role Player,-0.0262,0,5,Hides,False,"Low CII 12.3, low TII 37.1, no creation tools","{'self_created': np.float64(0.49), 'pressure_appetite': np.float64(16.6), 'difficulty_embrace': np.float64(4.69), 'defensive_survival': np.float64(44.45), 'force_multiplication': np.float64(4.3)}","{'scaling_efficiency': np.float64(13.882666666666665), 'pressure_appetite': np.float64(58.81333333333333), 'creation_tools': np.float64(18.102845528455283), 'opportunity_response': np.float64(70.66571428571429), 'age_trajectory': np.float64(40.01)}",High
Michael Porter Jr.,2022-23,19.24,48.03,Role Player,Limited Scaling,Fragile Star,-0.08899999999999997,0,3,Hides,False,"Fragile Star: high usage (22.0%), low CII (19.2), extreme hiding (-0.089), no creation tools","{'self_created': np.float64(12.95), 'pressure_appetite': np.float64(14.17), 'difficulty_embrace': np.float64(28.94), 'defensive_survival': np.float64(31.75), 'force_multiplication': np.float64(12.63)}","{'scaling_efficiency': np.float64(48.004835252084156), 'pressure_appetite': np.float64(2.0000000000000018), 'creation_tools': np.float64(58.39759793052476), 'opportunity_response': np.float64(86.34285714285714), 'age_trajectory': np.float64(85.0)}",Medium
Mikal Bridges,2022-23,31.37,53.15,Role Player,Moderate Scaling,Luxury Amplifier,-0.025999999999999978,1,4,Hides,True,"Negative career leverage (-0.026, 1+/4-) BUT has creation tools: Thrives as #2","{'self_created': np.float64(36.31), 'pressure_appetite': np.float64(18.0), 'difficulty_embrace': np.float64(41.17), 'defensive_survival': np.float64(35.69), 'force_multiplication': np.float64(23.85)}","{'scaling_efficiency': np.float64(52.66625334490046), 'pressure_appetite': np.float64(10.000000000000004), 'creation_tools': np.float64(73.95), 'opportunity_response': np.float64(81.5), 'age_trajectory': np.float64(78.33)}",High
Mike Conley,2022-23,36.72,65.47,Role Player,High Scaling,Developing Engine,0.03649999999999995,6,2,Steps Up,False,"Positive career leverage (+0.036), CII 36.7 still developing","{'self_created': np.float64(44.99), 'pressure_appetite': np.float64(23.3), 'difficulty_embrace': np.float64(37.69), 'defensive_survival': np.float64(52.04), 'force_multiplication': np.float64(20.56)}","{'scaling_efficiency': np.float64(80.67650899824814), 'pressure_appetite': np.float64(52.20703933747416), 'creation_tools': np.float64(74.4), 'opportunity_response': np.float64(75.56857142857143), 'age_trajectory': np.int64(20)}",High
