PLAYER_ID,PLAYER_NAME,SEASON,PROJECTED_PLAYOFF_PERFORMANCE
201950,Jrue Holiday,2015-16,21.51752178352958
201951,Ty Lawson,2015-16,20.152579037457727
201952,Jeff Teague,2015-16,25.81426305116068
201954,Darren Collison,2015-16,25.089018196423364
201956,Omri Casspi,2015-16,23.31371463887078
201959,Taj Gibson,2015-16,25.550975928179277
201960,DeMarre Carroll,2015-16,22.567906086156448
201961,Wayne Ellington,2015-16,20.0
201962,Toney Douglas,2015-16,20.60761484889436
201965,Jeff Ayres,2015-16,28.670405473756986
201967,Dante Cunningham,2015-16,20.269193144978495
201971,DeJuan Blair,2015-16,21.19609782631069
201973,Jonas Jerebko,2015-16,20.977395882825405
201975,Jodie Meeks,2015-16,20.0
201976,Patrick Beverley,2015-16,20.042117999700896
201977,Marcus Thornton,2015-16,22.30709026774931
201978,Chase Budinger,2015-16,20.853549691899826
201980,Danny Green,2015-16,20.0
201988,Patty Mills,2015-16,20.0
202066,Garrett Temple,2015-16,20.655445392882367
202083,Wesley Matthews,2015-16,20.03764429493269
202087,Alonzo Gee,2015-16,23.01862234006055
202322,John Wall,2015-16,21.724804753962058
202323,Evan Turner,2015-16,20.463323066113624
202324,Derrick Favors,2015-16,23.99514660389409
202325,Wesley Johnson,2015-16,20.0
202326,DeMarcus Cousins,2015-16,15.764573698312056
202328,Greg Monroe,2015-16,38.81112806581376
202329,Al-Farouq Aminu,2015-16,20.494629582426754
202330,Gordon Hayward,2015-16,25.073079342735465
202331,Paul George,2015-16,25.059155024378487
202332,Cole Aldrich,2015-16,29.256519436038207
202334,Ed Davis,2015-16,39.0806386909463
202335,Patrick Patterson,2015-16,20.0
202337,Luke Babbitt,2015-16,22.215551406806767
202338,Kevin Seraphin,2015-16,21.48207152989532
202339,Eric Bledsoe,2015-16,25.99361516646967
202340,Avery Bradley,2015-16,20.033946940859433
202341,James Anderson,2015-16,20.84152450232758
202343,Elliot Williams,2015-16,20.275467052647826
202344,Trevor Booker,2015-16,23.62855336955475
202349,Greivis Vasquez,2015-16,20.53995635993335
202353,Tibor Pleiss,2015-16,22.126057964000807
202355,Hassan Whiteside,2015-16,59.018410501828036
202357,Nemanja Bjelica,2015-16,23.581274148534796
202362,Lance Stephenson,2015-16,26.54663452719553
202379,Jeremy Evans,2015-16,24.2233017823753
202388,Donald Sloan,2015-16,23.70897525857584
